name,estimated_diameter_max_km,close_approach_date,relative_velocity_km_h,miss_distance_km
465633 (2009 JR5),0.485,1901-03-15,86105.1433113158,72944363.398906915
465633 (2009 JR5),0.483,1903-09-15,48255.9042725201,22070498.328638752
465633 (2009 JR5),0.479,1903-11-06,14801.793084321,19367193.025720939
465633 (2009 JR5),0.490,1908-03-14,84216.9713304366,70288309.076901573
465633 (2009 JR5),0.488,1910-09-14,50123.2351869857,24600609.285607216
465633 (2009 JR5),0.495,1915-03-14,81433.7710449084,66461237.828915042
465633 (2009 JR5),0.484,1917-09-12,53661.9703998046,29269809.579216697
465633 (2009 JR5),0.480,1918-12-01,31197.2863449602,7337393.031665984
465633 (2009 JR5),0.494,1922-03-12,77288.6795812996,60689425.64160185
465633 (2009 JR5),0.492,1924-09-10,57682.2450339972,34805507.289488103
465633 (2009 JR5),0.486,1929-03-10,72880.8942506987,54550276.57265386
465633 (2009 JR5),0.481,1931-09-08,62655.6795762056,41611805.442973587
465633 (2009 JR5),0.493,1936-03-07,67372.2720933322,46877014.825623957
465633 (2009 JR5),0.489,1938-09-06,67629.0753025564,48608715.17361891
465633 (2009 JR5),0.485,1943-03-06,62701.8547578527,40395522.864372484
465633 (2009 JR5),0.487,1945-09-03,72377.0620068985,55145788.188937851
465633 (2009 JR5),0.482,1950-03-03,57592.0409670176,33316689.989122873
465633 (2009 JR5),0.491,1952-09-01,76803.3048898116,61395729.934080812
465633 (2009 JR5),0.496,1957-03-01,53939.047645886,28264783.727106274
465633 (2009 JR5),0.484,1959-09-01,79930.6229783959,65656113.746249115
465633 (2009 JR5),0.478,1964-02-28,50502.4965123829,23522599.808810095
465633 (2009 JR5),0.488,1966-08-30,82970.3671187314,69985253.756734934
465633 (2009 JR5),0.479,1971-02-27,48594.1319653777,20831622.956117704
465633 (2009 JR5),0.480,1973-06-17,28103.027016199,7025206.706308155
465633 (2009 JR5),0.487,1973-08-29,84053.8975282373,71506346.797552664
465633 (2009 JR5),0.489,1975-03-19,13597.0394494037,16304230.732060731
465633 (2009 JR5),0.486,1978-02-26,48209.2601669806,20393053.702301576
465633 (2009 JR5),0.491,1980-08-29,84220.6439219598,71725876.735047954
465633 (2009 JR5),0.483,1985-02-27,49290.0178678114,21795918.499273216
465633 (2009 JR5),0.499,1987-08-31,82678.7734464766,69646965.879255458
465633 (2009 JR5),0.487,1992-02-29,51816.1277148379,25382517.828339962
465633 (2009 JR5),0.481,1994-09-01,79270.0233960132,64744681.138662106
465633 (2009 JR5),0.489,1999-03-03,56858.3161764433,32347589.841096145
465633 (2009 JR5),0.486,2000-06-07,19033.2081021699,22284300.866801731
465633 (2009 JR5),0.490,2001-09-03,74345.2838865868,57943599.717219901
465633 (2009 JR5),0.491,2006-03-05,61463.8896004735,38668497.210458439
465633 (2009 JR5),0.488,2008-09-05,69846.1712159317,51734932.129128449
465633 (2009 JR5),0.485,2013-03-08,66344.4853597746,45551291.621417156
465633 (2009 JR5),0.489,2015-09-08,65260.5699103704,45290298.225725659
465633 (2009 JR5),0.487,2020-03-10,71984.5569033275,53362801.951160148
465633 (2009 JR5),0.490,2022-09-11,59333.755649913,37135594.240592494
465633 (2009 JR5),0.485,2025-08-28,15525.4951486355,18384237.033216089
465633 (2009 JR5),0.491,2027-03-13,77376.0435769782,60814851.383048741
465633 (2009 JR5),0.486,2029-09-13,54858.21180565,31071163.323794704
465633 (2009 JR5),0.490,2034-03-15,80732.6265258022,65574622.804851044
465633 (2009 JR5),0.481,2036-09-14,51748.884507487,26768928.535107746
465633 (2009 JR5),0.487,2041-03-16,82922.6988256874,68559303.614856374
465633 (2009 JR5),0.484,2043-09-16,49441.2834112913,23771378.44865737
465633 (2009 JR5),0.482,2044-12-08,33985.1600634057,11867773.368457698
465633 (2009 JR5),0.489,2048-03-16,84913.974099491,71262812.999188441
465633 (2009 JR5),0.483,2050-09-17,48225.847505378,22185130.868001096
465633 (2009 JR5),0.490,2055-03-17,84096.1080127732,70220128.710705261
465633 (2009 JR5),0.482,2057-09-16,50097.1766568656,24625813.145790354
465633 (2009 JR5),0.487,2062-03-16,81805.3958358558,66952661.775457036
465633 (2009 JR5),0.484,2064-09-14,52989.1751480767,28556183.607945047
465633 (2009 JR5),0.490,2066-04-06,13933.7947999784,16604016.351421928
465633 (2009 JR5),0.481,2069-03-14,77553.8807456988,61205097.654741384
465633 (2009 JR5),0.486,2071-09-13,55511.6179913077,31980083.178641223
465633 (2009 JR5),0.493,2074-08-09,29960.7984288058,9815580.640746487
465633 (2009 JR5),0.488,2076-03-13,78690.1073302921,62879755.824157217
465633 (2009 JR5),0.485,2078-09-11,56283.4918931864,33027271.178383499
465633 (2009 JR5),0.484,2081-10-23,13647.9358696065,21625847.253195442
465633 (2009 JR5),0.490,2083-03-12,79647.7007490895,64332432.645818329
465633 (2009 JR5),0.483,2085-09-11,57040.0560867451,34167606.77525516
465633 (2009 JR5),0.487,2088-10-14,16130.2040467273,25553222.553076472
465633 (2009 JR5),0.481,2090-03-11,80811.9375157496,65522366.43902403
465633 (2009 JR5),0.490,2092-09-09,57803.6310719121,35371804.79432888
465633 (2009 JR5),0.488,2097-03-09,81840.2806313546,67076490.703326218
465633 (2009 JR5),0.482,2099-09-08,58589.6468397765,36634887.408573262
465633 (2009 JR5),0.481,2106-09-06,82627.2057153855,69569701.503940061
465633 (2009 JR5),0.493,2106-09-06,59480.9311852863,38020488.79337133
465633 (2009 JR5),0.489,2106-10-09,18039.4013455932,28582195.294235431
